text,label
قبلا میگفتن اگه درس نخونی معلم میزندت، الان درس بخونی یا نخونی میکننت.#تجاوز_به_دانش‌آموزان,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
یه شات هست از کلاب‌هاوس که هی توییت و لایک و کوت می‌شه من و هربار می‌بینمش می‌گم «اون چرا aeed رو aeid نوشته!».شد حکایت «بابا مرصاد»! هب نظر ما رو هم بپرسید دیگه! ااااه,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
ایران انقده خوبه که اصن همه میدونن منو بفرستین خارج :),"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
رد پای من هر جا بری هس.,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
#علی_جوانمردیآقای #علی‌جوانمردی؛در این‌که شما یک شخصیت تاثیرگزار در منطقه و جهان هستین شکی توش نیست و امیدواریم با تلاش‌های شما بخشی از مشکلات جهان کم بشه، به همین دلیل از شما که یک انسان مهم و بانفوذ هستی می‌پرسم آیا کسی رو سراغ دارین به این خانم و کودکش کمک کنه؟,"0. 1. 0. 0. 1. 0. 0. 0. 0. 0.
"
#سفره_افطار محله گلچینان #یزد (محله مادرم) که برای چندین سال پیاپی پهن می‌شود,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
کون یکی از دانش‌آموزان تجاوزشده بحرف امدشاهدان محلی میگویند در پی فشار نیروهای رژیم بدانش‌آموزان و خانواده های انان و ممنوعیت هرگونه اعتراض یا مصاحبه بمنظور حفظ آبروی نداشته معلم خاطی و سیستم آموزشی،کون یکی از دانش‌اموزان بسخن امد و از شدت خشونت معلم متجاوز اظهار گله مندی نمود,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
تو خوزستان همین یه کار رو هم نمیشه کرد. بهترین کار اینه که هیچ کاری نکرد و فقط جلوی کولر نشست,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
راهی به سوی بهشت!!! 👇👇👇 /ژوان شن سفید ☎️ 021-43926 88661070,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
#انصافانست هر نگاه تو زندگی من رو ، حال من رو ،همه ی روح من رو از تاریکی بیرون میاره و تو کلا #کیرته #عاشقانه,"0. 0. 1. 0. 1. 0. 0. 0. 0. 0.
"
من ادمای فنی خیلی دوست میدارم😉,"0. 0. 1. 0. 0. 0. 0. 0. 0. 0.
"
موزیلا به تازگی فرصت‌های شغلی مهندسی زیادی ایجاد کرده است. توسعه‌دهنده، طراح، مدیر پروژه/محصول/انسانی، اندروید، دسکتاپ،  و back-end. ay rea، پورتلند، تورنتو، ونکوور، برلین و ریموت.,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
در این موارد دو رقمی در باقی موارد پِشگِلی سه رقمی:))) حالا حضور ذهن ندارم.میرم چک میکنم به جزئیات عرضه میکنم:))),"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
اخرش یه روز میفهمم عکسارو از نت برداشی و اندکی از حسودیم کاسته میشه😔,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
واقعا نمیدونم چجوری باید به خودم حالی کنم رها کنم یه چیزایی رو رها کنم و خودمو ناراحت نکنم,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
همکاری نکردن کودک برای خواب روزانه,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
مخصوصا اگر وزیر مخابرات ما قاتل و بازجو هم باشه چه شود هزار الله اکبر,"0. 0. 0. 1. 0. 0. 0. 0. 0. 1.
"
گرمی دستای من کم شده دستاتو بده..,"0. 0. 1. 1. 0. 0. 0. 0. 0. 0.
"
سلیقه ی بوریس جانسون با مرد دست راست ایرانی خیلی نزدیکه :)) هم توی غارت اقتصادی و «دولت کوچک»، هم توی جفت گیری,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
قابلیتهای جدید خوانشگر گنجور رومیزی از طریق @ouube,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
موی کوتاه جذاب رو کجای دلم بزارم,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
از افتخارات زندگیم میتونم به این اشاره کنم که چهارساله در مجموع ده دقیقه هم وقتمو پای صدا و سیما نذاشتم,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
دقیقا!! منم این رو روز گرمی نگاهش کردم و خیلی قشنگ بودحتی خواهرزاده‌امم که سه سالشه عاشقشههم از نظر گرافیکی و هم از نظر پیام خیلی عالی بود,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
شیعه چرااا؟ آحاد مسلمین,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
ز تمام بودنی هاتو همین از آن من باشکه به غیر با تو بودندلم آرزو ندارد!حسین منزوى,"0. 0. 1. 0. 0. 0. 0. 0. 0. 0.
"
آقای یوتوب! اقلا ساعت چهارصبح بیخیال تبلیغ شو.,"0. 0. 0. 1. 0. 0. 0. 0. 0. 1.
"
#eoo قربانی تجاوز جنسی بودن ضربه مهلک و بزرگیه . سالها میگذره . درمان میشی و تروما رو پشت سر میذاری اما حرف و نگاه های مریضی که تورو با وجود قربانی بودن مقصر میدیدن رو فراموش نمیکنی و هربار که بهش فکر میکنی لبریز از خشم و نفرت میشی. هیچکس انتخاب نمیکنه قربانی تجاوز جنسی باشه.,"0. 0. 0. 0. 0. 0. 1. 0. 0. 1.
"
بعد دوتامون پاره شدیم از خنده وسط اون بحران تا دو زنگ داشتیم میخندیدیم و من هی این دیالوگه رو نمایشش رو اجرا میکردم پخش زمین میشدیم :))))) در این حد به جوارح بدنم بود قضیه :))),"0. 1. 0. 1. 0. 0. 0. 0. 0. 0.
"
از قضا الان که بهش فک میکنم کلمه قشنگیه و پتانسیل وایرل شدن رو داره :),"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
عجیب نیست که یک کتاب بعد از چندین‌بار خوانده شدن، چاق‌تر می‌شود!؟انگار چیزی لابلای صفحه‌ها جامی‌ماندچیزهایی مثل، احساسات، افکار، صداها...کرنلیا فانکر,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
من که خیلییییی داداش,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
حاجی ولی هرجور حساب میکنم اخرش دهنش میاد رو خشتکت=))),"0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
"
با این اتفاق های که توی این چند وقت اخیر برام پیش آمدهراحت میتونم مهمون ماه عسل بشماونم توی چند قسمتاحسان علیخانی من امادم :),"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
شما هم همه را درست جواب دادي 😉,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
اولین امامزاده دنیا تولدت مبارک#امام_حسنی_ام,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
بله بله اشتباه از من بود,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
برعکسش ما یه معلم ریاضی داشتیم هرکی میرفت خونشون کلاس خصوصی میگرفت 20,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
فاز بعضیا از بلاک کردن چیه واقعا!!,"0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
"
گفتم، توجیه میکنهکلا بحث تکراریه چندسال اخیرمونه و به نتیجه هم نرسیده,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
این الان چیه؟ یعنی اکسو هم یا نه؟# #엑소,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
عقل و شعور که نباشه، جان در عذابه....سند حماقت این افراد خودشون اند,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
وضعیت یه جوریه انگار تجاوز ساختگیه که ذهن مردم رو منحرف کنن از ای وضعیت بگاییخب یه تجاوزه دیگه انگار خیلی غیر عادیه تو همین تهران گوشه گوشش داره انجام میشه مشکل چیزه دیگس#تجاوز_به_دانش_آموزان #ایران #پس_سعیدطوسی_چی #میدونی_چرا#تجاوز_به_دانش‌آموزان,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
این خیلی ترسناکه که تا ۱ سال پیش حاضر بودم برا ی آدمی جون بدم و بخاطرش شبو روز گریه میکردم اما الان حتی نمی‌خوام چشمم به چشمش بیوفته:))),"0. 0. 0. 0. 0. 0. 0. 1. 0. 1.
"
چون اینا میخان تمام اشخاصی که با اکانت واقعی فعالیت میکنن رو بلاک کنن و فقط سایبریهایی که بهشون فحش میدن رو نگه دارن تا برای ننه من غریبم مدرک داشته باشن.,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
تبانی گروه های تروریستی با گروه های جرایم سازمان یافته؛ عامل عمدۀ دوام جنگ ها در جهان - روزنامه افغانستان,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
بله قبول دارماما عمل قبلیش اونقدر اثر مخرب داشته که عمل جدیدش رو باورناپذیر میکنه. دست کم باید خیلی بیشتر تلاش کنه تا حس اعتماد امثال من برگرده,"0. 0. 0. 1. 1. 0. 0. 0. 0. 0.
"
متاسفانه درددل ما نوشتنی نیست ‌.‌..,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
هروقت تصميم گرفتيد شهر ديگه اي زنذگي كنيد، بريد يكي دوماه بمونيد ببينيد با اب و هواش سازگاري داريد يا نه...خشكي پوست،سياه سوخته شدن و از همه بدتر مشكل تنفسي پيدا كردن شده نصيبمون از اين شهر,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
یک مربی پرورشی #تجاوز کرد حداقلش این بود صدای خانواده هاشون یک جامعه رو لرزوند.یکی ام مث #سعيد_طوسي صدای خانواده ها رو خفه کرد.,"0. 0. 0. 0. 0. 0. 0. 0. 1. 0.
"
بله دیدم .باعث تاسف بود,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
شب بخیربیب@weareone,"0. 1. 0. 0. 0. 0. 0. 0. 0. 0.
"
گزارش تازه گلوبل ویتنس نشان میدهد که داعش در افغانستان استخراج معادن مهم را آغاز کرده است. در تازه ترین گزارش نهاد گلوبل ویتنس یا موسسه جهانی غیر دولتی آمده است که داعش به کمک انجینران پاکستان و عربستانی معادن افغانستان را استخراج می کنند.,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
واقعا نميدونم چجوري عصبانيتمو خالي كنم داداش كوچيكم يه ماهه رفته سربازي هيچ خبري ازش نداريم هرچي زنگ ميزنيم شماره پادگان زابل نميگيره متنفرم ازت خامنه اي متنفر حالم ازت بهم ميخوره د,"0. 0. 0. 0. 0. 0. 0. 0. 1. 1.
"
آره ولی توییتم به گا نرفت حداقل :)),"0. 0. 0. 1. 0. 0. 0. 0. 0. 1.
"
بعد از اتمام ظرف در دسشتویی اسکان میپذیرد=),"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
پس کاه بخوریم ارزشش بیشتره -_-,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
دروغ ک قشنگ هست نبود کسی نمیگفت =],"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
مگه میشه جایی ک کانکی باشه من نباشممم؟؟؟😎 بعد امتحانت منم هستم😃,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
من همونجام میخواستم بیام بالا و همین حرفا رو بزنم، اجازه ندادن به هر دلیلی,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
📌برای اولین بار بعد از دوران صدر اسلام یک حکومت و نظامی اعلان شدکه دارای دو خصوصیت مردمی بودن و الهی بودن است.#نظام_مردم,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
اعتراف به ملاعبه و رفتار منافی عفت به قدر کافی شرم آور هست، از کدوم آبرو حرف میزنید؟ چی رو ماست مالی میکنید؟ تا کی قراره دگم باشید؟ چقدر تهوع آورید😷👎#تجاوز_به_دانش‌آموزان,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
نجس؟يه جوري نگو انگار پرز برا بارسا داورو ميخره,"0. 0. 0. 0. 0. 0. 0. 0. 1. 0.
"
راستی مشخص نکردن دوران #نامزدی نسبت فامیلی حساب میشه یا نه؟#گشت_نسبت,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
نه نا امید نشو شاید خوب بشم :)),"0. 1. 0. 0. 0. 0. 0. 0. 0. 0.
"
درسته هیچ کشوری محل سگم بهمون نمیذاره حتی کوزوو ولی در عوض امنیت داریم. جوری امنیت داریم که به بچه های خودمون خودیا تجاوز میکنه نه داعش نه طالبان !!!,"0. 0. 0. 0. 0. 0. 0. 0. 1. 1.
"
"مامان؛ کاشکی تاریکی نبود :,))","0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
بعد تازه آهنگ جدید هم میاد تو این تایم.,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
یک مشت حیوان مزدور و غیر ایرانی از خامنه ای رذل تا نون خون خورای مردم ایران #o2hina#نه_به_جمهوری‌_اسلامی,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
برا ازدواج‌ دوم هم میدن؟؟,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
تابحال ، از عسل ِ چشم کسی مَست شدی ؟!,"0. 0. 1. 0. 1. 0. 0. 0. 0. 0.
"
یه سوالی که ذهنم ر درگیر کرده چرا فریدون فرخزاد هنوز زندست؟,"0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
"
من خودمو نمیگم ولی دکتر قبل از توییت زدن کلی تحقیق انجام میدن,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
تفاوت از زمین تا آسمان استچقدر پیشرفت داشتیم و عقب موندیم از پیشرفت,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
هیچ ریپلایی نتونستم به ریتوییت قبلی بزنم. داغون شدم. خدایا همه بیمارا خصوصا بچه ها، خصوصا بچه ها,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
