text,label
عشق واقعی با تظاهر به عاشق بودن فرق میکنه، از عشق نا امید نشو,"0. 0. 0. 1. 1. 0. 0. 0. 0. 0.
"
درودها بر شرافت بازیگران و دیگر کسانیکه به احترام هم میهنانشان به افطار پارتی ریاست جمهوری مطرود نه می‌گویند#ما_به_افطاری_نخواهیم_رفت,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
#تناقض اینه که لباس گرینگو به مراتب شیک تر از بازیکنای تیم ملیه,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
واسه همین دوست دارم‌باهم‌حرف بزنیم یا یه کاری کنیم تو خوشحال بشی,"0. 1. 0. 1. 0. 0. 0. 0. 0. 0.
"
تلخ کنی دهان من قند به این و آن دهینم ندهی ب کشت من آب به دیگران دهیجان منی و یار من دولت پایدار من باغ منو بهار منباغ مرا خزان دهی💔,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
منظورم چیز دیگه ای بود,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
چشم من بیا منو یاری بکنگونه‌هام خشکیده شد، کاری بکنغیر گریه مگه کاری میشه کردکاری از ما نمیاد زاری بکناون که رفته، دیگه هیچ وقت نمیادتا قیامت، دل من گریه میخواد...,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
خب کل داستان همین بود دیگه-🧍🏻,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
ما آماده ایم و عکس آواتارمون را هم به مناسبت این روز فرخنده تغییر دادیم #نه_به_جمهوري_اسلامي,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
منم خوبم عزیزم نههه باید پیام میادم خدا لعنتت کنه ممد,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
تو یه دونه ای عشقمممم😍😍😍این داستان مربوط به خودم نمیباشد 🤦‍♂️🤦‍♂️🤦‍♂️لوکیشن نفرستادی بانووووو😂😂😂,"0. 0. 1. 1. 0. 0. 0. 0. 0. 0.
"
😂😂😂 چقدر هم باهاشون خاطره داشتیم,"0. 1. 0. 0. 0. 0. 0. 0. 0. 0.
"
چرا انقدر ساکته سططسطسسسدارم میترسم : |,"0. 0. 0. 0. 0. 0. 0. 1. 0. 0.
"
منم نمیدونم چرا گوشی رو نمیذارم کنارهر چند خودش دیگه رو به خاموشیه,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
مسئله دیورند دیگر تمام شده استت. اینگونه اظهارات فقط برای یک عده پشتونهای احساساتی و نادان می‌تواند مصرف داشته باشد؛ دیگران میدانند که گاو سیاه شیرش سفید است.,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
نخست وزیر اسرائیل در پیامی مستقیم و ویژه به مردم ایران: شما یکی از خلاق ترین و با استعدادترین مردم دنیا هستید. اما رژیم ایران ثروت شما را غارت می کند. آرزوی من همکاری میان شرکت ها و کارآفرینان اسرائیلی و ایرانی است. این می تواند آینده ما باشد.,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
برادران و خواهران از کمک به امام و انقلاب خودداری نکنید چون راه امام، راه انبیاء و خداوند کریم می باشد #نظام_مردم,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
#هموطنم! زمینی که خوابیدی سخت تر از قلب انسان های متمول نیست!اما به راستی که بالشی نرم تر از وجدان راحت نیستعکاس : خودم,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
بيمـارىِ لاعـلاج فقـط دهـنِ مردمـهنـه بستـه ميشـه ، نـه درمـان!,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
🔺تایلندی‌هاخیانتکارترین مردم دنیا🔹طبق نظرسنجی‌ها 51 درصد از تایلندی‌ها اعلام کرده‌اند غیر از دوست یا شوهرشان همزمان باشخص دیگری نیز در رابطه بوده‌اند02195119166,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
حالا تو بازی تدارکاتی عیب نداره از این کارا انجام بدیولی تو بازی رسمی نباید این کارو انجام دادبه هیچ وجه نباید هافبک دفاعی رو گذاشت دفاع وسطخیلی افتضاح میشه,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
موزیکا تلاششونو میکنن ولی مغذ من نتیجه عکس میده و بیشتر تو غم فرو میرم,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
یادمه تو همه کلاسهای شهید بهشتی نوشته بودندخواهرم حجابت را، برادرم نگاهت رابین دو ردیف هم فاصله بود.البته بهتر بود بیشتر به اساتید گوشزد می شد🤦‍♀️,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
چندین بارم به من گفتن که به کسای که غیر مستقیم میخوان فخر بفروشن گیر ندم,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
فردا غذا قابلی پلو داریم...از شوق زیاد خوابم نمیبره 52 : 03,"0. 1. 0. 0. 0. 0. 0. 0. 0. 0.
"
آره درخواست مرجوعی زدم تایید شد. خودشونم فهمیدن کالا نو نبوده 😂,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
